training/global_step,critic/rewards/mean,critic/score/mean,critic/advantages/max,critic/advantages/min,actor/entropy,actor/grad_norm,actor/ppo_kl,actor/pg_clipfrac,actor/lr,response_length/mean,num_turns/mean,rollout_corr/kl,timing_s/step
1,0.6192237138748169,0.6192237138748169,6.803919315338135,-3.856346845626831,0.5419175028800964,0.077880859375,-0.00017852743545176963,0.00016005155885068234,2e-05,3095.921875,20.84375,0.0008782313670963049,770.6917090788484
2,0.5178422927856445,0.5178422927856445,8.715399742126465,-3.5534045696258545,0.6130702495574951,0.07440185546875,9.242779253071376e-06,0.0001484043496020604,2e-05,3145.578125,21.6875,0.0008539624977856874,746.8359667770565
3,0.5454054474830627,0.5454054474830627,8.148842811584473,-3.4538512229919434,0.671926736831665,0.07794189453125,-5.148717153247162e-05,9.856690348897246e-05,2e-05,3184.6875,20.5625,0.0009232653537765145,722.1608455590904
4,0.6346502900123596,0.6346502900123596,7.966160774230957,-4.379302501678467,0.5558238625526428,0.07623291015625,1.9522542146432897e-05,0.0001356294142169645,2e-05,3018.375,21.0,0.0008855132618919015,719.6364621296525
5,0.7760007381439209,0.7760007381439209,7.4171929359436035,-4.1808624267578125,0.5921162962913513,0.09228515625,0.00015247598719980715,0.00023266055404747021,2e-05,2877.4375,19.578125,0.000757160596549511,699.2251832447946
6,0.7271875143051147,0.7271875143051147,7.784182548522949,-3.2667429447174072,0.566478431224823,0.0745849609375,7.90989188601543e-05,0.00021408800648714532,2e-05,2719.96875,19.0,0.0007785492925904691,682.5531331002712
7,0.7476041913032532,0.7476041913032532,6.794620990753174,-3.904879093170166,0.6045188307762146,0.07177734375,-6.209218724961829e-06,0.00019714088693945087,2e-05,2761.078125,18.71875,0.0007366627105511725,662.8099025599658
8,0.5806622505187988,0.5806622505187988,4.900839805603027,-3.218966245651245,0.6712704300880432,0.06304931640625,6.123689456671855e-05,0.00016278256407531444,2e-05,3020.984375,20.703125,0.0006689513684250414,701.9113736972213
9,0.40612688660621643,0.40612688660621643,3.937093496322632,-1.6722465753555298,0.5994426608085632,0.0462646484375,-0.00015700268707519172,0.0001500108910477138,2e-05,3712.65625,25.796875,0.0008099043625406921,858.9632142372429
10,0.4648735225200653,0.4648735225200653,3.5414724349975586,-1.620161771774292,0.6049416065216064,0.05010986328125,-5.044812382948294e-05,0.00011950702992180595,2e-05,3250.703125,20.375,0.0009019137360155582,725.4598287567496
11,0.5843749642372131,0.5843749642372131,7.215799808502197,-2.970583915710449,0.5984434485435486,0.067626953125,-5.082581587600998e-05,0.00011042624009860447,2e-05,3055.21875,19.828125,0.0007118633366189897,703.228807669133
12,0.5655654668807983,0.5655654668807983,3.865006446838379,-1.7061580419540405,0.6504002809524536,0.052978515625,0.00010488056065582896,7.410190937662264e-05,2e-05,3206.5,20.828125,0.0005816632183268666,737.2485756836832
13,0.6156584620475769,0.6156584620475769,6.173455238342285,-3.2150003910064697,0.6343317627906799,0.06719970703125,-5.574328936575057e-05,0.00018756985673462623,2e-05,3122.46875,20.359375,0.0007609090534970164,712.574298247695
14,0.7540885806083679,0.7540885806083679,8.197603225708008,-4.024357795715332,0.5294933915138245,0.08807373046875,0.00015661739308825418,0.00010143206873181043,2e-05,2670.796875,18.359375,0.0007774248952046037,689.5608298778534
15,0.7524404525756836,0.7524404525756836,7.3994460105896,-3.757833242416382,0.5940310955047607,0.06976318359375,6.0266568998379455e-05,0.00016719992800062755,2e-05,3097.015625,19.84375,0.0006662984960712492,732.4592569954693
16,0.5378422141075134,0.5378422141075134,3.8087830543518066,-2.475984573364258,0.5875100493431091,0.0521240234375,5.1080096739042347e-05,0.00012979681605429505,2e-05,3245.984375,22.390625,0.0006580196786671877,713.9908662550151
17,0.6529315710067749,0.6529315710067749,2.4842517375946045,-2.4937329292297363,0.5759755373001099,0.0576171875,4.801991867253719e-05,0.00018335153208681731,2e-05,3093.703125,20.671875,0.000662211561575532,706.3463868871331
18,0.5955915451049805,0.5955915451049805,5.594676494598389,-4.24914026260376,0.6306488513946533,0.07305908203125,-0.0001007490494409069,0.00014506984280160395,2e-05,3367.28125,22.0,0.0009243476088158786,754.9038446359336
19,0.7362908720970154,0.7362908720970154,8.091660499572754,-4.0584330558776855,0.600189745426178,0.1202392578125,-3.371128352824826e-05,7.714495995969628e-05,2e-05,2801.75,18.9375,0.0006771123735234141,699.630420871079
20,0.8344717621803284,0.8344717621803284,2.70672607421875,-2.4960317611694336,0.4928901791572571,0.07080078125,3.210759348348802e-05,0.0001250155983143486,2e-05,2481.953125,19.96875,0.0007854903815314174,661.0028004348278
21,0.7265773415565491,0.7265773415565491,7.765990734100342,-4.650167465209961,0.6476242542266846,0.097412109375,-4.476286619592429e-06,0.00018757121733870008,2e-05,2847.734375,18.59375,0.0007761259330436587,702.3456396609545
22,0.6684771776199341,0.6684771776199341,3.413576602935791,-2.4081339836120605,0.5767256021499634,0.05267333984375,-4.359970302081351e-05,0.0001535701194370631,2e-05,3351.84375,22.0,0.0007596689974889159,736.6764761768281
23,0.6552108526229858,0.6552108526229858,7.164663791656494,-3.788547992706299,0.5387719869613647,0.07708740234375,-3.643797335506349e-05,8.164323617165792e-05,2e-05,3179.921875,21.34375,0.0006723236874677241,720.7905597500503
24,0.7485677003860474,0.7485677003860474,8.19709300994873,-4.379836559295654,0.5348747968673706,0.141845703125,3.6816984877674486e-05,9.039614224093384e-05,2e-05,2526.359375,17.46875,0.0005954416701570153,645.8805574178696
25,0.8586681485176086,0.8586681485176086,7.033840179443359,-4.369175910949707,0.4985685348510742,0.0904541015625,6.104195009015712e-05,0.0001621378455638478,2e-05,2634.75,19.375,0.0005911012995056808,1133.5431346856058
